Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Rufford, J.","26036739400","What have we got to do with fun?: Littlewood, price, and the policy makers",2011,"New Theatre Quarterly",27,"4",,313,328,,4,10.1017/S0266464X11000649,"https://www.scopus.com/inward/record.url?eid=2-s2.0-81155133491&partnerID=40&md5=8402a7c90564375c5ec106bfe856b834",Article,Final,"",Scopus,2-s2.0-81155133491
"Kwon, O.-J.","48461424100","The logic of social policy expansion in a neoliberal context: Health insurance reform in Korea after the 1997 economic crisis",2011,"Theory and Society",40,"6",,645,667,,5,10.1007/s11186-011-9155-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80053917245&partnerID=40&md5=21db7d3de378b1b20eb21297a7411cd1",Article,Final,"",Scopus,2-s2.0-80053917245
"Krstanović, M.L.","52364450000","Political folklore on festival market: Power of paradigm and power of stage",2011,"Cesky Lid",98,"3",,261,280,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80053507204&partnerID=40&md5=25c147bcc2484378331637064238f36b",Article,Final,"",Scopus,2-s2.0-80053507204
"Page, E.C., Jenkins, B.","10046212800; 7102926969","Policy Bureaucracy: Government with a Cast of Thousands",2011,"Policy Bureaucracy: Government with a Cast of Thousands",,"",,1,240,,172,10.1093/acprof:oso/9780199280414.001.0001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84922013981&partnerID=40&md5=b9db682873c24ca96d57cea446cb130b",Book,Final,"",Scopus,2-s2.0-84922013981
"Kane, J., Patapan, H.","26663563200; 6603121420","The Democratic Legitimacy of Bureaucratic Leadership",2011,"Dispersed Democratic Leadership: Origins, Dynamics, and Implications",,"",,,,,,10.1093/acprof:oso/9780199562992.003.0007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84920897043&partnerID=40&md5=52641ab4e73b8fd622ad08537b325b54",Book Chapter,Final,"",Scopus,2-s2.0-84920897043
"Saint-Martin, D.","6603183743","Building the New Managerialist State: Consultants and the Politics of Public Sector Reform in Comparative Perspective",2011,"Building the New Managerialist State: Consultants and the Politics of Public Sector Reform in Comparative Perspective",,"",,1,264,,130,10.1093/acprof:oso/9780199269068.001.0001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84920614816&partnerID=40&md5=43d3c55b2f816b162d3cfa62ea885877",Book,Final,"",Scopus,2-s2.0-84920614816
"Heymann, P.B.","7005133660","Living the Policy Process",2011,"Living the Policy Process",,"",,1,432,,6,10.1093/acprof:oso/9780195335385.001.0001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84867339108&partnerID=40&md5=a3f5bc3aabe1ab8f5ff5438c399c181a",Book,Final,"",Scopus,2-s2.0-84867339108
"Hamman, P.","15837183100","Green cities: From mantra to profession? | La « ville durable », de l'incantation à la profession ?",2011,"Natures Sciences Societes",19,"4",,331,343,,,10.1051/nss/2011161,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84859120746&partnerID=40&md5=c5f27b4580114abab1551309d4ee268f",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84859120746
"Lacy, M.","8964002200","Intellectuals, International Relations and the Constant Emergency",2011,"Third World Quarterly",32,"9",,1673,1690,,1,10.1080/01436597.2011.618652,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84858216034&partnerID=40&md5=4a35cdd3a1251040c3f27da489d910e2",Article,Final,"",Scopus,2-s2.0-84858216034
"Chan, A.K.W.","55465242200","Feminising and masculinising primary teaching: A critical examination of the interpretive frameworks of male primary school principals in Hong Kong",2011,"Gender and Education",23,"6",,745,759,,15,10.1080/09540253.2011.611041,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84855740593&partnerID=40&md5=fa31e2bb92a671989e0f4f13db344a84",Article,Final,"",Scopus,2-s2.0-84855740593
"Skradol, N.","26325744100","Fascism and kitsch: The Nazi campaign against kitsch",2011,"German Studies Review",34,"3",,595,612,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-81555210088&partnerID=40&md5=9d7226752934b0128a655fa6ae48ae10",Article,Final,"",Scopus,2-s2.0-81555210088
"Perrella, A.M.L.","24830955200","Conditions for efficacious petitions: Empirical evidence from two cities",2011,"Politics and Policy",39,"5",,787,812,,,10.1111/j.1747-1346.2011.00314.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80054093777&partnerID=40&md5=4dbcd92c6b9f8d4af8802431d31d076e",Article,Final,"",Scopus,2-s2.0-80054093777
"Schmidt, P.J.","7403630056","Blood, AIDS, and Bureaucracy. The Crisis and the Tragedy",2011,"Transfusion Medicine Reviews",25,"4",,335,343,,6,10.1016/j.tmrv.2011.04.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80052835621&partnerID=40&md5=c9b370a169732d9716c7e267cff31192",Article,Final,"",Scopus,2-s2.0-80052835621
"Zebroski, R.","8370229100","Lieutenant Peter Petrovich Schmidt: Officer, gentleman, and reluctant revolutionary",2011,"Jahrbucher fur Geschichte Osteuropas",59,"1",,28,50,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80053215343&partnerID=40&md5=f3ceeacc22dfe447f5bd02d3da1897c4",Review,Final,"",Scopus,2-s2.0-80053215343
"Dana, K., Barreto, M.A., Oskooii, K.A.R.","56042585300; 7004455603; 56043483300","Mosques as American institutions: Mosque attendance, religiosity and integration into the political system among American Muslims",2011,"Religions",2,"4",,504,524,,41,10.3390/rel2040504,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84871431864&partnerID=40&md5=f704b27b9eb61543f6f28b3096e05ec6",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84871431864
"O'Donnell, I.","7004100919","Criminology, Bureaucracy, and Unfinished Business",2011,"What is Criminology?",,"",,,,,8,10.1093/acprof:oso/9780199571826.003.0033,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84863510417&partnerID=40&md5=b48f0178cf0f71f1cc18f20f3b477a4f",Book Chapter,Final,"All Open Access, Green",Scopus,2-s2.0-84863510417
"Joireman, S.F.","6507362137","Where There is No Government: Enforcing Property Rights in Common Law Africa",2011,"Where There is No Government: Enforcing Property Rights in Common Law Africa",,"",,1,224,,52,10.1093/acprof:oso/9780199782482.001.0001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84855684433&partnerID=40&md5=649254b8a7935b19b7b5622f8f0003df",Book,Final,"",Scopus,2-s2.0-84855684433
"Cyranoski, D., Brumfiel, G.","7006317110; 7006867471","Fukushima impact is still hazy",2011,"Nature",477,"7363",,139,140,,16,10.1038/477139a,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80052564125&partnerID=40&md5=404278958dfcd26603752ab916ec66db",Short Survey,Final,"All Open Access, Bronze",Scopus,2-s2.0-80052564125
"Mueller, D.C.","7202616579","The importance of self-interest and public interest in politics",2011,"Critical Review",23,"3",,321,338,,3,10.1080/08913811.2011.635870,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84855440642&partnerID=40&md5=d4ad2877d2b69d0859fda0995cb1ab5a",Article,Final,"",Scopus,2-s2.0-84855440642
"Munger, M.C.","35952974300","Self-interest and public interest: The motivations of political actors",2011,"Critical Review",23,"3",,339,357,,6,10.1080/08913811.2011.635871,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84855438781&partnerID=40&md5=831418f5f2dd9c75d8a68be9add2553a",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84855438781
"Flynn, M.K.","24316380900","Decision-making and contested heritage in Northern Ireland: The former maze prison/long kesh",2011,"Irish Political Studies",26,"3",,383,401,,23,10.1080/07907184.2011.593741,"https://www.scopus.com/inward/record.url?eid=2-s2.0-81255136542&partnerID=40&md5=d1e211158ba5deec6417cdc5d25399bb",Article,Final,"",Scopus,2-s2.0-81255136542
"Yi, D.","25822842600","Who owns what?: Private ownership and the public interest in recombinant DNA technology in the 1970s",2011,"ISIS",102,"3",,446,474,,14,10.1086/661619,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80053531302&partnerID=40&md5=6fb93dc79438a0f3a92468d814d2dc0b",Article,Final,"",Scopus,2-s2.0-80053531302
"Olivieri, C.","24537262400","Political controls over the bureaucracy | Os controles políticos sobre a burocracia*",2011,"Revista de Administracao Publica",45,"5",,1395,1424,,9,10.1590/S0034-76122011000500007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80053316425&partnerID=40&md5=8c9fdabe12f1412fa4c8fd4222b5ead7",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-80053316425
"Collinson, S., Jay, M.","7006427588; 51161342200","Business management: Complexity cost: The race for simplicity",2011,"Petroleum Review",65,"776",,39,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80053106158&partnerID=40&md5=7e7bc60a48e802c1ab3c5e81a1c78b41",Note,Final,"",Scopus,2-s2.0-80053106158
"Ongaro, E.","23668436900","The role of politics and institutions in the Italian administrative reform trajectory",2011,"Public Administration",89,"3",,738,755,,54,10.1111/j.1467-9299.2010.01885.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80052658030&partnerID=40&md5=0f3e6e58bee985db7f60f775e3c3d80e",Article,Final,"",Scopus,2-s2.0-80052658030
"Hylke, D., Vanhoonacker, S.","36068822700; 15137560900","The changing politics of information in European foreign policy",2011,"Journal of European Integration",33,"5",,541,558,,9,10.1080/07036337.2010.546845,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80051816785&partnerID=40&md5=ae2fbc95f1cfc0b837cc6bb090776aab",Article,Final,"All Open Access, Green",Scopus,2-s2.0-80051816785
"Keil, R.","7102728834","The global city comes home: Internalised globalisation in frankfurt rhine-main",2011,"Urban Studies",48,"12",,2495,2517,,37,10.1177/0042098011411946,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79961204464&partnerID=40&md5=f5a822b95b305522f832e616cd973fb8",Article,Final,"",Scopus,2-s2.0-79961204464
"Knight, J., Johnson, J.","7401751667; 7406809632","The priority of democracy: Political consequences of pragmatism",2011,"The Priority of Democracy: Political Consequences of Pragmatism",,"",,1,324,,89,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84924248145&partnerID=40&md5=66558895347d9df7088288dca8ff380f",Book,Final,"",Scopus,2-s2.0-84924248145
"Kilinc, G., Gulersoy, N.Z.","57208984461; 50861595300","Evaluation of the potential for districts/ counties to become provinces with respect to the level of urbanization in Turkey",2011,"European Planning Studies",19,"8",,1557,1580,,2,10.1080/09654313.2011.586176,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84855601392&partnerID=40&md5=b3f3fda5c17d8e8113f2172f15430a24",Article,Final,"",Scopus,2-s2.0-84855601392
"Sutton, R., Vigneswaran, D.","50362001700; 22986769700","A Kafkaesque state: Deportation and detention in South Africa",2011,"Citizenship Studies",15,"5",,627,642,,28,10.1080/13621025.2011.583794,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80051955284&partnerID=40&md5=61c6c01545ea27906b274ff0ad4360e9",Article,Final,"",Scopus,2-s2.0-80051955284
"Niaz, I.","23486632600","Provincial administration in Pakistan and the crisis of order and development",2011,"South Asia: Journal of South Asia Studies",34,"2",,232,254,,4,10.1080/00856401.2011.582671,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79960825310&partnerID=40&md5=78bcdf1e46291e9366828eb4c058d802",Article,Final,"",Scopus,2-s2.0-79960825310
"Lezaun, J.","13204676400","Bees, beekeepers, and bureaucrats: Parasitism and the politics of transgenic life",2011,"Environment and Planning D: Society and Space",29,"4",,738,756,,31,10.1068/d0510,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79960162655&partnerID=40&md5=3dddd1fe4099e7f8e53c41968e848878",Article,Final,"",Scopus,2-s2.0-79960162655
"Ginsberg, W.R.","38161434200","Presidential libraries: The federal system and related legislation",2011,"Presidential Libraries: Elements and Considerations",,"",,35,42,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84946907675&partnerID=40&md5=ea48258ab9c1350253798aa606aeb201",Book Chapter,Final,"",Scopus,2-s2.0-84946907675
"Clark-Kazak, C.R.","34979960200","Recounting Migration: Political narratives of congolese young people in Uganda",2011,"Recounting Migration: Political Narratives of Congolese Young People in Uganda",,"",,1,223,,27,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84897287019&partnerID=40&md5=4a99cad81d024cd46498ebebc9c9ccdd",Book,Final,"",Scopus,2-s2.0-84897287019
"Shaw, A.","37011685700","Insurgent expertise: The politics of Free/Livre and Open Source Software in Brazil",2011,"Journal of Information Technology and Politics",8,"3",,253,272,,18,10.1080/19331681.2011.592063,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84860415598&partnerID=40&md5=46c07eca215957b9879e9253e587fb35",Article,Final,"",Scopus,2-s2.0-84860415598
"Hill, K.","35113071500","""""Male Providers"""" and """"Responsible Mothers"""": Gender and livelihood politics in the rural Philippines",2011,"Gender, Technology and Development",15,"2",,223,247,,3,10.1177/097185241101500203,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80052392221&partnerID=40&md5=5a5bb44cb03f14e794d7a0db01614ad4",Article,Final,"",Scopus,2-s2.0-80052392221
"Kuus, M.","6603912671","Whose regional expertise? political geographies of knowledge in the European union",2011,"European Urban and Regional Studies",18,"3",,275,288,,34,10.1177/0969776411406034,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79961051627&partnerID=40&md5=7c7f54af65a9efbaf526c27f93a87d2b",Article,Final,"",Scopus,2-s2.0-79961051627
"Collins, R.","7403350533","Patrimonial alliances and failures of state penetration: A historical dynamic of crime, corruption, gangs, and mafias",2011,"Annals of the American Academy of Political and Social Science",636,"1",,16,31,,30,10.1177/0002716211398201,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79960384722&partnerID=40&md5=07840754d218fad5a3efe208f59e962e",Review,Final,"",Scopus,2-s2.0-79960384722
"Golubchikov, O., Phelps, N.A.","36863575200; 57203076068","The political economy of place at the post-socialist urban periphery: Governing growth on the edge of Moscow",2011,"Transactions of the Institute of British Geographers",36,"3",,425,440,,37,10.1111/j.1475-5661.2011.00427.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958273132&partnerID=40&md5=0552d0616b78752a2a342a0ecae0f47a",Article,Final,"",Scopus,2-s2.0-79958273132
"Sikor, T., To, P.X.","6603065610; 54391737700","Illegal logging in vietnam: Lam Tac (Forest Hijackers) in Practice and Talk",2011,"Society and Natural Resources",24,"7",,688,701,,40,10.1080/08941920903573057,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79957824864&partnerID=40&md5=c301c51132a20c81a0a131c479e390d1",Article,Final,"",Scopus,2-s2.0-79957824864
"Armstrong, D.J., Reid, M.F., Riemenschneider, C.K., Nelms, J.E.","8897577900; 7402597301; 6602689359; 39861787600","Challenges and barriers facing women in the is workforce: How far have we come?",2011,"SIGMIS CPR 2011 - Proceedings of the 2011 ACM SIGMIS Computer Personnel Research Conference",,"",,107,112,,7,10.1145/1982143.1982184,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958704898&partnerID=40&md5=1d1a08bc0e2120527714241bfe015a96",Conference Paper,Final,"",Scopus,2-s2.0-79958704898
"Carrigan, C., Coglianese, C.","37461040200; 57212123952","The politics of regulation: From new institutionalism to new governance",2011,"Annual Review of Political Science",14,"",,107,129,,48,10.1146/annurev.polisci.032408.171344,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79955963528&partnerID=40&md5=e6ba5a9202cf1b27dc921a6aee2c87f5",Article,Final,"",Scopus,2-s2.0-79955963528
"Varia, N.","39262905500","""""Sweeping changes?"""" A review of recent reforms on protections for migrant domestic workers in Asia and the Middle East",2011,"Canadian Journal of Women and the Law",23,"1",,265,287,,17,10.3138/cjwl.23.1.265,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958057181&partnerID=40&md5=178bf3ce9a3e6618ab8303d073af8b3d",Review,Final,"",Scopus,2-s2.0-79958057181
"Lodenstein, E., Dao, D.","40462086000; 40461417700","Devolution and human resources in primary healthcare in rural Mali",2011,"Human Resources for Health",9,"", 15,,,,13,10.1186/1478-4491-9-15,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958069395&partnerID=40&md5=99be6e0b94c76c504c36c09466f13d3e",Note,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-79958069395
"Gram-Skjoldager, K.","26033944500","The law of the jungle? Denmark's international legal status during the Second World War",2011,"International History Review",33,"2",,235,256,,2,10.1080/07075332.2011.555417,"https://www.scopus.com/inward/record.url?eid=2-s2.0-81355133744&partnerID=40&md5=b33e26f310a00d6b7eae461441172587",Review,Final,"",Scopus,2-s2.0-81355133744
"Benner, T., Mergenthaler, S., Rotmann, P.","17433699900; 56503710800; 36005657600","The New World of UN Peace Operations: Learning to Build Peace?",2011,"The New World of UN Peace Operations: Learning to Build Peace?",,"",,1,264,,66,10.1093/acprof:oso/9780199594887.001.0001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80155123132&partnerID=40&md5=03eff9ad53828c1d22089735d505f99b",Book,Final,"",Scopus,2-s2.0-80155123132
"Kim, J.","40761645100","Establishing Identity: Documents, Performance, and Biometric Information in Immigration Proceedings",2011,"Law and Social Inquiry",36,"3",,760,786,,27,10.1111/j.1747-4469.2011.01249.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80051705551&partnerID=40&md5=0102b6214b2289653991bd8ef925c419",Article,Final,"",Scopus,2-s2.0-80051705551
"Schanzer, J.","6506289039","Fatah, hamas, and the statehood gambit",2011,"Commentary",131,"6",,25,28,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79960124004&partnerID=40&md5=95b558afc744738a0e5f823f195ba954",Article,Final,"",Scopus,2-s2.0-79960124004
"Øyvind, E.","50861003800","Chiefs and everyday governance: Parallel state organisations in Malawi",2011,"Journal of Southern African Studies",37,"2",,313,331,,38,10.1080/03057070.2011.579436,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79959519588&partnerID=40&md5=1cb4758e44c4fc8f019343f73a6eb5be",Article,Final,"",Scopus,2-s2.0-79959519588
"Buur, L., Mondlane, C., Baloi, O.","8896490600; 42862118100; 42861059300","Strategic privatisation: Rehabilitating the Mozambican sugar industry",2011,"Review of African Political Economy",38,"128",,235,256,,28,10.1080/03056244.2011.582762,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79959516305&partnerID=40&md5=88207744414fe55aa4f2118e9a742a7a",Article,Final,"",Scopus,2-s2.0-79959516305
"Meghan, E.H.","41461400200","'To control their destiny': The politics of home and the feminisation of schooling in colonial natal, 1885-1910",2011,"Journal of Southern African Studies",37,"2",,247,264,,3,10.1080/03057070.2011.579439,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79959502789&partnerID=40&md5=edffb5979e698e50246c8d719b65c326",Article,Final,"",Scopus,2-s2.0-79959502789
"Wu, J., Cheng, M.L.","55636315852; 36642618100","The impact of managerial political connections and quality on government subsidies: Evidence from Chinese listed firms",2011,"Chinese Management Studies",5,"2",,207,226,,49,10.1108/17506141111142834,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79959223651&partnerID=40&md5=f5a55b78917557dfd5ea10a127092625",Article,Final,"",Scopus,2-s2.0-79959223651
"Un, K., So, S.","6602671259; 35103476500","Land rights in Cambodia: How neopatrimonial politics restricts land policy reform",2011,"Pacific Affairs",84,"2",,289,308,,89,10.5509/2011842289,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958791215&partnerID=40&md5=cfe50d90be8270553b8cb0a62ea55683",Article,Final,"",Scopus,2-s2.0-79958791215
"Myrvang, C.","26036510100","Organising affluence: The norwegian consumer council and comparative product testing in the 1950s and 1960s. technocratic roots and practices",2011,"Scandinavian Economic History Review",59,"2",,149,165,,,10.1080/03585522.2011.572583,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958730484&partnerID=40&md5=5337e7fd850abcd397a674ff31730898",Article,Final,"",Scopus,2-s2.0-79958730484
"Davies, W.","35730977400","Economic advice as a vocation: Symbioses of scientific and political authority",2011,"British Journal of Sociology",62,"2",,304,323,,10,10.1111/j.1468-4446.2011.01366.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958018330&partnerID=40&md5=e56243b645dc77fc41a7227a72d11d11",Article,Final,"",Scopus,2-s2.0-79958018330
"Weible, C.M.","8942351400","Political-Administrative relations in collaborative environmental management",2011,"International Journal of Public Administration",34,"7",,424,435,,12,10.1080/01900692.2011.569916,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958017068&partnerID=40&md5=833a7b48432b0a52bd869562907a046b",Article,Final,"",Scopus,2-s2.0-79958017068
"Robinson, D.","57204325784","Modernism at a crossroad: The Spadina Expressway Controversy in Toronto, Ontario ca. 1960-1971",2011,"Canadian Historical Review",92,"2",,295,322,,18,10.3138/chr.92.2.295,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79956257622&partnerID=40&md5=ec937f3b90875f4e6347682f5ed9ab7a",Article,Final,"",Scopus,2-s2.0-79956257622
"Watson, S.","37063982500","Back Home, Safe and Sound: The Public and Private Production of Insecurity",2011,"International Political Sociology",5,"2",,160,177,,3,10.1111/j.1749-5687.2011.00127.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79956207517&partnerID=40&md5=b2053625036943d25ce45b38a6be2cd6",Article,Final,"",Scopus,2-s2.0-79956207517
"Urbanovič, J., Garcia-Zamor, J.-C.","36538399300; 6508232042","Tendencies of the Development of Public Service in Lithuania",2011,"Public Organization Review",11,"2",,177,192,,,10.1007/s11115-010-0143-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79955685383&partnerID=40&md5=9c629022d30cac646be6b7b5d8498723",Review,Final,"",Scopus,2-s2.0-79955685383
"Heiduk, F.","39161251100","From guardians to democrats? Attempts to explain change and continuity in the civil-military relations of post-authoritarian Indonesia, Thailand and the Philippines",2011,"Pacific Review",24,"2",,249,271,,14,10.1080/09512748.2011.560959,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958001541&partnerID=40&md5=5ef564d7ad53052ab2be864777ea1cb0",Article,Final,"",Scopus,2-s2.0-79958001541
"Ahn, M.J., Bretschneider, S.","36766809500; 6701505817","Politics of E-Government: E-Government and the Political Control of Bureaucracy",2011,"Public Administration Review",71,"3",,414,424,,119,10.1111/j.1540-6210.2011.02225.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79955752551&partnerID=40&md5=d44552c69eef3fcd943c7ca65e253aad",Article,Final,"",Scopus,2-s2.0-79955752551
"Godfrey, L., Scott, D.","24337696700; 7404953032","Improving waste management through a process of learning: The South African waste information system",2011,"Waste Management and Research",29,"5",,501,511,,7,10.1177/0734242X10382591,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79955102371&partnerID=40&md5=85ef405bc92ab14cc6e45e5ab90bfdd7",Article,Final,"",Scopus,2-s2.0-79955102371
"Zwarteveen, M.","6508194796","Questioning masculinities in water",2011,"Economic and Political Weekly",46,"18",,40,48,,14,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84859339818&partnerID=40&md5=0c57ebdc85e7c4fc50e4bf9213931bad",Review,Final,"",Scopus,2-s2.0-84859339818
"Saldívar, E.","55227867800","Everyday Practices of Indigenismo: An Ethnography of Anthropology and the State in Mexico",2011,"Journal of Latin American and Caribbean Anthropology",16,"1",,67,89,,12,10.1111/j.1935-4940.2011.01125.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861442649&partnerID=40&md5=2dd02ce52e0f7331843f2fba73e8c704",Article,Final,"",Scopus,2-s2.0-84861442649
"Danto, E.A.","6508364920","An Anxious Attachment: Letters from Sigmund Freud to Wilhelm Reich",2011,"Contemporary Psychoanalysis",47,"2",,155,166,,4,10.1080/00107530.2011.10746448,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80053418053&partnerID=40&md5=20e3945e18e8b7a0008c647ff77dfbfb",Article,Final,"",Scopus,2-s2.0-80053418053
"Pereira, E.","48761826100","Palavra de Coca e de Tabaco como """"conhecimento tradicional"""": Cultura, política e desenvolvimento entre os Uitoto-murui do rio Caraparaná (CO)",2011,"Mana: Estudos de Antropologia Social",17,"1",,69,98,,1,10.1590/S0104-93132011000100004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80052137103&partnerID=40&md5=cb998a2da15f51560d4286cb6a88878f",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-80052137103
"Rubin, O.","7004427141","The politics of starvation deaths in West Bengal: Evidence from the village of Amlashol",2011,"Journal of South Asian Development",6,"1",,43,65,,2,10.1177/097317411100600103,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79959790649&partnerID=40&md5=c6b0b2af0e3b93cd9907c448f163551e",Article,Final,"",Scopus,2-s2.0-79959790649
"Arsenijević, D.","40460986800","Gendering the bone: The politics of memory in Bosnia and Herzegovina",2011,"Journal for Cultural Research",15,"2",,193,205,,5,10.1080/14797585.2011.574059,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79959262550&partnerID=40&md5=ad43b6b11d475fdffc2da4f58a1606e2",Article,Final,"",Scopus,2-s2.0-79959262550
"Lucas, S.","25957702500","Recognising politicization: The CIA and the path to the 2003 war in Iraq",2011,"Intelligence and National Security",26,"2-3",,203,227,,8,10.1080/02684527.2011.559141,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79957571367&partnerID=40&md5=f98a7797c515e69904aa1ee80a38bca1",Article,Final,"",Scopus,2-s2.0-79957571367
"Gewald, J.-B.","6507583593","On becoming a chief in the kaokoveld, colonial namibia, 1916-25",2011,"Journal of African History",52,"1",,23,42,,7,10.1017/S0021853711000065,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79956083416&partnerID=40&md5=8889ba85476ce1e0c6e49b23749e10d3",Article,Final,"All Open Access, Green",Scopus,2-s2.0-79956083416
"Watkins-Hayes, C.","26535299700","Race, respect, and red tape: Inside the black box of racially representative bureaucracies",2011,"Journal of Public Administration Research and Theory",21,"SUPPL. 2",,i233,i251,,98,10.1093/jopart/muq096,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79953683432&partnerID=40&md5=ef3631daedd157d6e2a99ed78a810f87",Article,Final,"",Scopus,2-s2.0-79953683432
"Decanio, S.","55918833800","Populism, paranoia, and the politics of free silver",2011,"Studies in American Political Development",25,"1",,1,26,,12,10.1017/S0898588X11000010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79953654879&partnerID=40&md5=62807d99c362bc4f507a095844aff4aa",Article,Final,"",Scopus,2-s2.0-79953654879
"Acemoglu, D., Ticchi, D., Vindigni, A.","7003483273; 6506463276; 22982111900","Emergence and persistence of inefficient states",2011,"Journal of the European Economic Association",9,"2",,177,208,,125,10.1111/j.1542-4774.2010.01008.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79952666120&partnerID=40&md5=a4e86dbd2eb917ce9f7bce75f4e7f41b",Article,Final,"All Open Access, Green",Scopus,2-s2.0-79952666120
"Nam, T.","18134279100","Analyzing the democratic potential of the internet: A comparative study of offline and online modes",2011,"Proceedings of the Annual Hawaii International Conference on System Sciences",,"", 5718640,,,,,10.1109/HICSS.2011.66,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79952923899&partnerID=40&md5=d5745e115ddf2b5559226bc5392776e8",Conference Paper,Final,"",Scopus,2-s2.0-79952923899
"Robinson, C.C.","36829858000","Wittgenstein and political theory: The view from somewhere",2011,"Wittgenstein and Political Theory: The View from Somewhere",,"",,1,208,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84968879674&partnerID=40&md5=eb01f7571fb391c9055e6b9760336468",Book,Final,"",Scopus,2-s2.0-84968879674
